Rank	Protein	Mean rank	Overlapping Proteins
33	PRKACA	87.73	RB1,FOXI1,CALML3,SLC4A4,GRB14,UBAP2L,ZNF687,TNS1,PDGFRB,PDGFRA,SLC6A19,DAXX,CASR,MAGI2,USP2,ANK2,WRNIP1,ANK3,PDZK1,ATP1B1,ANK1,MAP1B,PARD3,ATP6V1A,NCAPG,RASAL3,RAP1GAP,SDCBP,EPB41L1,EPB41L3,MYH10,SPTBN2,GSTM3,L1CAM,GJB1,HNRNPK,TH,NASP,LHX1,TOP2A,LRRK2,PTPRO,HSPB1,TRIOBP,PHF8,AKAP12,PCM1,PRX,BLNK,CA9,NOS1,DLGAP2,FCER1G,MME,DST,SORD,ZFP91,PROX1,OSMR,DUSP9,CIT,MZT2B,APBB1IP,LATS2,PLCB4,PALLD,PITPNM3,KCNMA1,SLC25A5,PLCB1,ARHGEF7,MET,FBP1,FBP2,ARHGEF6,PLEC,AHNAK,UHRF1,NDUFA4L2,WIZ,LRP2,HSPD1,PDLIM2,TCOF1,RANBP2,PKLR,AP3D1,PTPN13,PLEKHA7,RSL1D1,SUCLA2,NPHS1,GSTA1,ACIN1,LPIN2,PFKP
34	BUB1	87.8	RB1,TOP2A,CDKN1C,CDCA2,UHRF1,LRRK2,NCAPG,FMN2,KIF15,HSPD1,PHF8,UBAP2L,SPDL1,DLGAP2,MYH10,SPTBN2,TNS1,RANBP2,PDGFRB,PDGFRA,DAXX,DST,PKLR,PLCL1,MAGI2,MYO7B,WRNIP1,HPS5,ANK3,MLF1,PLEKHA7,CIT,PARD3B,CENPF,ILF3,LATS2,PLCB4,NASP,PSAT1,KIF4A,ALDOB,PLCB1,FBP1,FBP2,RABL6,PLEC
35	AURKB	88.36	RB1,TOP2A,CDKN1C,SCARB1,CRYBG1,LRRK2,FMN2,KIF15,PHF8,BLNK,SPDL1,NOS1,TNS1,PDGFRB,PDGFRA,DAXX,SLC13A3,PARP4,NPY1R,ANK2,ANK3,PROX1,ANK1,DUSP9,CIT,PARD3B,ILF3,LATS2,PARD3,ARHGEF7,PLCB1,MET,PLEC,CDCA2,AHNAK,UHRF1,NCAPG,HSPD1,COBLL1,MYH10,RANBP2,IDH1,PTPN13,RSL1D1,CENPF,GJB1,HNRNPK,NASP,PSAT1,KIF4A
36	LATS2	89.67	RB1,CDKN1C,LRRK2,SIPA1L2,KIF15,AKAP12,PCM1,GRB14,CSPP1,LZTS2,MYH10,PDGFRB,PDGFRA,DAXX,MAGI2,CGN,PTPN13,DUSP9,PLEKHA7,MPP7,CIT,PARD3B,LATS2,HNRNPK,PARD3,ARHGEF7,MET,ARHGEF6
37	LCK	91	RB1,USP6NL,CDKN1C,LAD1,SCARB1,LRRK2,PTPRO,HSPB1,FMN2,SYNE2,PCM1,GRB14,PRX,BLNK,UBAP2L,NOS1,LZTS2,TNS1,PDGFRB,PDGFRA,DAXX,CASR,FCER1G,MME,DST,MAGI2,MYO7B,NPY1R,PDZK1,ANK3,OSMR,ATP1B1,HSPG2,ANK1,MLF1,PARD3B,APBB1IP,PLCB4,PALLD,MAP1B,PARD3,FDX1,KCNMA1,PLIN2,ARHGEF7,DOCK2,SLC25A5,PLCB1,MET,ARHGEF6,PLEC,TAGLN,RASAL3,PIK3R5,HSPD1,SDCBP,TCOF1,GSTM3,PKLR,IDH1,PLCL1,AP3D1,L1CAM,PTPN13,MPP7,FABP1,HNRNPK,KIF4A,ACIN1
38	PIK3C2G	91.75	RB1,TOP2A,LRRK2,NCAPG,CALML3,PIK3R5,KIF15,STBD1,ACAA1,TNS1,PDGFRA,PARP4,PKLR,IDH1,PLCL1,USP2,ANK2,ANK3,ANK1,DUSP9,CIT,PLCB4,PITPNM3,KIF4A,ATP6V1B2,PLCB1,FBP1,MET,FBP2
39	RIPK3	92.33	LRRK2,PTPRO,RASAL3,GRAMD4,PIK3R5,BASP1,BLNK,MYH10,TNS1,PDGFRB,PDGFRA,DAXX,FCER1G,PKLR,PLCL1,ANK2,ANK3,PDZK1,PTPN13,ANK1,HSPG2,CIT,PARD3B,APBB1IP,ILF3,LATS2,PLCB4,PARD3,PPIF,SLC25A5,PLCB1,DOCK2,ARHGEF7,FBP1,MET,FBP2,ARHGEF6
40	LATS1	92.6	RB1,TOP2A,CDKN1C,AHNAK,LRRK2,NCAPG,SIPA1L2,TRIOBP,SYNE2,HSPD1,DDN,AKAP12,PCM1,PTDSS1,GRB14,SPDL1,LZTS2,MYH10,PDGFRB,PDGFRA,DAXX,DST,MAGI2,ANK3,CGN,PTPN13,ASS1,PLEKHA7,CIT,PARD3B,VIL1,RSL1D1,CENPF,ILF3,LATS2,MAP1B,PARD3,DOCK2,PFKP
41	PAK2	92.82	RB1,USP6NL,LRRK2,PTPRO,CALML3,FMN2,SLC4A4,TRIOBP,HSPD1,KIF15,BCLAF1,EPB41L3,MYH10,TNS1,SPTBN2,PDGFRB,PDGFRA,GSTM3,DAXX,DST,MYO7B,PTPN13,DUSP9,CIT,ILF3,HNRNPK,LATS2,KIF4A,ATP6V1B2,ARHGEF7,DOCK2,SLC25A5,MET,RABL6,ARHGEF6
42	GSK3B	93	RB1,USP6NL,FOXI1,CALML3,SLC4A4,GRB14,UBAP2L,ACAA1,TNS1,PDGFRB,PDGFRA,DAXX,CASR,MAGI2,MYO7B,ANK2,ANK3,PDZK1,HDHD2,ATP1B1,ANK1,HSPG2,ILF3,MAP1B,PARD3,PPIF,RABL6,ATP6V1A,RAP1GAP,SDCBP,TKFC,EPB41L1,COBLL1,EPB41L3,PCK1,MYH10,SPTBN2,PCK2,CAV2,HPS5,VIL1,HNRNPK,GJB1,TH,KIF4A,LHX1,TOP2A,LRRK2,PTPRO,ACSM2A,HSPB1,FMN2,PTH1R,BICD1,TRIOBP,SYNE2,ACSM2B,PHF8,PCM1,BLNK,NOS1,NEFH,DLGAP2,PARP4,FCER1G,DST,MME,DCXR,SORD,ZFP91,PROX1,DUSP9,CIT,PARD3B,APBB1IP,GAP43,LATS2,PLCB4,PALLD,ATP6V1B2,ALDOB,ARHGEF7,PLCB1,MET,FBP1,FBP2,ARHGEF6,PLEC,TAGLN,LRP2,HSPD1,BCLAF1,PDLIM2,BPNT1,RANBP2,IRX1,IRX2,GK,PKLR,PLCL1,AP3D1,PTPN13,SOD3,MPP7,PLEKHA7,RSL1D1,SUCLA2,GSTA1,ACIN1,PFKP,TJP3
43	MAPK4	94	ATP6V1A,AHNAK,LRRK2,PTPRO,HSPB1,CALML3,FMN2,SIPA1L2,RAP1GAP,HSPD1,PTDSS1,EPB41L1,TCEAL2,MAP6,DLGAP2,MYH10,CHGB,TNS1,SPTBN2,FCER1G,TMEM132E,PLCL1,MAGI2,USP2,ANK2,ANK3,PTPN13,ANK1,DUSP9,SOD3,PLEKHA7,CIT,SLC9A3,SLC9A4,GAP43,LATS2,PLCB4,MAP1B,GPD1,PLIN2,PLCB1,SLC25A5,MET,PFKP
44	WNK1	94.5	LRRK2,HSPB1,RASAL3,SLC4A4,HSPD1,EPB41L1,BSND,UBAP2L,CA9,SPDL1,HAO2,TNS1,SLC12A3,CASR,SLC13A3,DST,USP2,SLC12A1,ATP1B1,L1CAM,MLF1,SLC9A3,KCNMA1,CLDN16,PLCB1,PFKP,PLEC
45	CSNK2A1	96.18	RB1,USP6NL,CALML3,GRB14,SALL3,DHX57,ZNF687,TNS1,CHGB,PDGFRB,PDGFRA,DAXX,MAGI2,USP2,ANK2,WRNIP1,ANK3,PDZK1,HDHD2,ATP1B1,ANK1,ILF3,PARD3,MAP1B,FDX1,PPIF,ALPK2,RABL6,TBC1D9B,NCAPG,TGOLN2,SDCBP,EPB41L1,COBLL1,EPB41L3,MYH10,FAM83B,GSTM3,CAV2,EPHX2,MICAL3,L1CAM,HNRNPK,TH,NASP,LHX1,TOP2A,CRYBG1,LRRK2,PTPRO,HSPB1,ARHGEF10L,TRIOBP,SYNE2,PHF8,PCM1,SPDL1,NOS1,MME,DST,ZFP91,PROX1,DUSP9,CIT,PARD3B,APBB1IP,GAP43,PLCB4,LATS2,PITPNM3,ATP6V1B2,ARHGEF7,PLCB1,DOCK2,SLC25A5,MET,ARHGEF6,PLEC,AHNAK,UHRF1,WIZ,LRP2,FAM169A,HSPD1,BCLAF1,PDLIM2,TCOF1,RANBP2,AP3D1,PTPN13,MPP7,PLEKHA7,RSL1D1,ACIN1,LPIN2,PFKP
46	PLK1	96.27	RB1,TOP2A,USP6NL,CDKN1C,LRRK2,FOXI1,HSPB1,FMN2,PTH1R,BICD1,TRIOBP,SYNE2,KIF15,PHF8,AKAP12,PCM1,GRB14,SPDL1,TNS1,PDGFRB,PDGFRA,DAXX,DST,MAGI2,ANK2,WRNIP1,ANK3,ATP1B1,ANK1,DUSP9,CIT,MZT2B,ILF3,LATS2,PARD3,MET,CDCA2,TBC1D9B,UHRF1,NCAPG,WIZ,RAP1GAP,HSPD1,TCOF1,EPB41L1,NPY,MYH10,SPTBN2,RANBP2,SLC12A3,CAV2,IDH1,AP3D1,PTPN13,SOD3,FABP1,CENPF,HNRNPK,NASP,PSAT1,KIF4A,WRAP53
47	OBSCN	96.67	RB1,AHNAK,LRRK2,PRUNE2,ARHGEF10L,CALML3,LRP2,SYNE2,TCOF1,COBLL1,DLGAP2,MYH10,SPTBN2,DAXX,SLC36A2,DST,MYO7B,MICAL3,ANK2,ANK3,ANK1,HSPG2,CIT,PALLD,ALPK2,ARHGEF7,ARHGEF6,PLEC
48	MINK1	98.33	RB1,ATP6V1A,CDCA2,TBC1D9B,AHNAK,LRRK2,WIZ,BICD1,HSPD1,AKAP12,PCM1,BLNK,NOS1,LZTS2,MYH10,SPTBN2,PDGFRB,RANBP2,PDGFRA,DAXX,MAGI2,ANK3,DUSP9,CIT,LATS2,NPHS1,MAP1B,KIF4A,ATP6V1B2,ACIN1,DOCK2,ARHGEF6,PLEC
49	SYK	98.36	RB1,TOP2A,PECR,LRRK2,PTPRO,HSPB1,ARHGEF10L,PTH1R,TRIOBP,GRB14,BLNK,TNS1,PDGFRB,PDGFRA,DAXX,CASR,FCER1G,DST,MME,NPY1R,PDZK1,PROX1,OSMR,ATP1B1,DUSP9,ANK1,HSPG2,PARD3B,APBB1IP,ILF3,PLCB4,LATS2,PARD3,MAP1B,CDHR2,KCNMA1,ALDOB,ARHGEF7,DOCK2,SLC25A5,PLCB1,SCG2,MET,SLC27A2,ARHGEF6,PLEC,TAGLN,SLC43A2,UHRF1,RASAL3,PIK3R5,HSPD1,TGOLN2,GSTM3,PKLR,PLCL1,SLC16A10,L1CAM,PTPN13,PLEKHA7,MPP7,VIL1,HNRNPK,NPHS1,LHX1,ACIN1,LPIN2
50	MET	98.55	RB1,CDKN1C,TOP2A,LRRK2,PTPRO,HSPB1,FMN2,SYNE2,GRB14,BLNK,CA9,NOS1,DLGAP2,TNS1,PDGFRB,PDGFRA,DAXX,CASR,MME,DST,PDZK1,PROX1,OSMR,HSPG2,DUSP9,PRODH2,CIT,PARD3B,APBB1IP,PLCB4,LATS2,PARD3,KCNMA1,PLCB1,MET,PLEC,SDCBP,EPB41L1,COBLL1,FAM83B,SPTBN2,PKLR,CAV2,IDH1,PLCL1,MICAL3,L1CAM,PTPN13,MPP7
51	JAK1	100.3	RB1,TAGLN,LRRK2,PTPRO,HSPB1,FMN2,HSPD1,SDCBP,BCLAF1,PCM1,GRB14,NPY,BLNK,TNS1,RANBP2,PDGFRB,PDGFRA,DAXX,FCER1G,PKLR,IDH1,PLCL1,USP2,ANK2,ANK3,PDZK1,OSMR,PTPN13,HSPG2,MPP7,CIT,PARD3B,VIL1,ILF3,LATS2,HNRNPK,PLCB4,PARD3,ARHGEF7,DOCK2,PLCB1,MET,ARHGEF6,PLEC
52	ILK	102.6	RB1,CDKN1C,LRRK2,PTPRO,HSPB1,TRIOBP,SYNE2,KIF15,PRX,UBAP2L,SPDL1,NOS1,DLGAP2,TNS1,PDGFRB,PDGFRA,DAXX,SLC13A3,SLC36A2,DST,MYO7B,ANK2,ANK3,PROX1,NPNT,ANK1,HSPG2,DUSP9,CIT,APBB1IP,ILF3,LATS2,ILVBL,PALLD,MAP1B,PARD3,ARHGEF7,DOCK2,SLC25A5,MET,PLEC,ARHGEF6,TAGLN,HSPD1,SDCBP,ADGRG1,PDLIM2,MYH10,SPTBN2,GK,CAV2,AGXT2,L1CAM,PTPN13,PLEKHA7,VIL1,ALDH6A1,NPHS1,NPHS2,LHX1,KIF4A,ACIN1,PFKP,WRAP53
53	PAK1	103.5	TOP2A,LRRK2,PTPRO,CALML3,FMN2,TRIOBP,KIF15,PHF8,PRX,UBAP2L,NOS1,TNS1,PDGFRB,PDGFRA,DAXX,DST,MAGI2,MYO7B,ANK3,PROX1,ANK1,DUSP9,CIT,PARD3B,ILF3,LATS2,PARD3,ATP6V1B2,ARHGEF7,DOCK2,MET,ARHGEF6,PLEC,TBC1D9B,AHNAK,UHRF1,WIZ,SDCBP,EPB41L3,BPNT1,MYH10,SPTBN2,RANBP2,GSTM3,PKLR,AP3D1,L1CAM,PTPN13,HNRNPK,NPHS1,KIF4A,ACIN1
54	FGFR1	104.4	RB1,CDKN1C,TOP2A,LAD1,LRRK2,PTPRO,FOXI1,PTH1R,TRIOBP,GRB14,BLNK,TNS1,PDGFRB,PDGFRA,DAXX,CASR,MME,DST,ANK2,PROX1,OSMR,HSPG2,GAP43,LATS2,PLCB4,MAP1B,PARD3,ALPK2,PLCB1,DOCK2,MET,PLEC,TAGLN,LRP2,HSPD1,NPY,MYH10,PCK2,RANBP2,IRX2,EPHX2,IDH1,PLCL1,L1CAM,PTPN13,NPHS1,TH,LHX1
55	MYO3B	104.6	ATP6V1A,DDC,LRRK2,CALML3,FMN2,SLC4A4,BICD1,TRIOBP,KIF15,SDCBP,PCM1,PDLIM2,GRB14,BASP1,COBLL1,MAP6,NOS1,MYH10,TNS1,IRX1,IRX2,ANK2,ANK3,PDZK1,ANK1,CIT,PARD3B,APBB1IP,VIL1,PLCB4,LATS2,PARD3,KIF4A,CDHR2,ARHGEF7,PLCB1
56	HCK	104.7	RB1,SCARB1,LRRK2,PTPRO,HSPB1,FMN2,RASAL3,PIK3R5,HSPD1,TKFC,GRB14,EPB41L1,BLNK,TNS1,PDGFRB,PDGFRA,DAXX,CASR,FCER1G,MME,PKLR,PLCL1,MYO7B,PDZK1,PTPN13,HSPG2,DUSP9,SOD3,MPP7,PARD3B,APBB1IP,HNRNPK,LATS2,PLCB4,PARD3,KCNMA1,PPIF,ACIN1,ARHGEF7,DOCK2,PLCB1,MET,RABL6,ARHGEF6
57	TNIK	105.3	RB1,ATP6V1A,TBC1D9B,AHNAK,LRRK2,WIZ,BICD1,SYNE2,PCM1,NOS1,LZTS2,MYH10,SPTBN2,PDGFRB,PDGFRA,DAXX,DST,MAGI2,SORD,AP3D1,ANK2,ANK3,DUSP9,CIT,CENPF,LATS2,PSAT1,PARD3,ATP6V1B2,ARHGEF6
58	CSNK2A2	105.9	RB1,TOP2A,LRRK2,PTPRO,FOXI1,HSPB1,CALML3,PCM1,SALL3,DHX57,ZNF687,NEFH,PDGFRB,PDGFRA,DAXX,MAGI2,ZFP91,ANK2,WRNIP1,PDZK1,ANK3,ANK1,CIT,ILF3,LATS2,PITPNM3,ATP6V1B2,DPEP1,PLCB1,ARHGEF7,MET,RABL6,ARHGEF6,NCAPG,WIZ,TGOLN2,SDCBP,BCLAF1,TCOF1,EPB41L3,MYH10,RANBP2,MICAL3,AP3D1,HPS5,L1CAM,HNRNPK,ACIN1,LPIN2
59	INSR	106.6	RB1,CDKN1C,LAD1,LRRK2,PTPRO,HSPB1,CALML3,PEPD,KIF15,GRB14,BASP1,BLNK,CA9,NOS1,TNS1,PDGFRB,PDGFRA,CASR,DST,NPY1R,ANK2,PROX1,ANK3,PDZK1,OSMR,HSPG2,ANK1,DUSP9,CIT,PARD3B,GAP43,LATS2,PLCB4,MAP1B,PARD3,GPD1,ATP6V1B2,PLCB1,ARHGEF7,MET,SLC27A2,ATP6V1A,DDC,LRP2,NPY,PCK1,MYH10,PCK2,RANBP2,PKLR,CAV2,EPHX2,PLCL1,MICAL3,L1CAM,PTPN13,SOD3,MPP7,FABP1,LHX1,PFKP
60	KIT	107	RB1,CDKN1C,TOP2A,TAGLN,LRRK2,PTPRO,NCAPG,HSPB1,PTH1R,PEPD,SDCBP,GRB14,TCOF1,BLNK,CA9,NOS1,ZNF687,TNS1,PDGFRB,PDGFRA,DAXX,CASR,MME,EPHX2,IDH1,DCXR,PLCL1,MAGI2,PROX1,L1CAM,ATP1B1,PTPN13,HSPG2,CIT,LATS2,GJB1,PLCB4,TH,MAP1B,LHX1,ACIN1,ALPK2,PLCB1,DOCK2,MET
61	IGF1R	107.4	RB1,CDKN1C,TOP2A,LRRK2,PTPRO,HSPB1,PTH1R,PEPD,SYNE2,KIF15,GRB14,BLNK,CA9,CHGB,TNS1,PDGFRB,PDGFRA,DAXX,CASR,MAGI2,NPY1R,PROX1,ANK3,PDZK1,OSMR,ANK1,HSPG2,CIT,PARD3B,LATS2,PLCB4,MAP1B,PARD3,DOCK2,PLCB1,SLC25A5,MET,SCG2,PLEC,TAGLN,NCAPG,LRP2,PIK3R5,SDCBP,PDLIM2,NPY,EPB41L3,PCK1,MYH10,PCK2,SPTBN2,IRX1,RANBP2,PKLR,CAV2,IDH1,PLCL1,MICAL3,L1CAM,PTPN13,SOD3,MPP7,NPHS1,TH,LHX1
62	ITK	108.6	RB1,AHNAK,LRRK2,PTPRO,FMN2,PTH1R,PIK3R5,GRB14,BLNK,NCKAP5,TNS1,PDGFRB,RANBP2,PDGFRA,CASR,FCER1G,MME,PKLR,PLCL1,PDZK1,PTPN13,HSPG2,MPP7,CIT,PARD3B,APBB1IP,HNRNPK,LATS2,PLCB4,TH,NPHS1,NPHS2,PARD3,DOCK2,PLCB1,MET,ARHGEF6
63	STK4	110.3	CRYBG1,UHRF1,LRRK2,FOXI1,HSPB1,HSPD1,AKAP12,GRB14,TCOF1,NEFH,MYH10,RANBP2,PDGFRB,PDGFRA,DAXX,IDH1,MAGI2,MICAL3,AP3D1,PTPN13,DUSP9,CIT,APBB1IP,LATS2,NPHS1,ILVBL,MAP1B,PARD3,FDX1,ARHGEF7,DOCK2,SLC25A5,LPIN2,ARHGEF6
64	RAF1	110.9	RB1,LRRK2,PTPRO,HSPB1,ARHGEF10L,SIPA1L2,KIF15,PHF8,TNS1,PDGFRB,PDGFRA,FCER1G,PARP4,PDZK1,HSPG2,DUSP9,MLF1,CIT,PARD3B,APBB1IP,MZT2B,SLC9A3,SLC9A4,ILF3,LATS2,PLCB4,PARD3,CLDN16,ARHGEF7,PLCB1,DOCK2,MET,SLC27A2,RABL6,ARHGEF6,PLEC,RAP1GAP,HSPD1,PIK3R5,SDCBP,PTDSS1,PDLIM2,TCOF1,FAM83B,RANBP2,PKLR,IDH1,PLCL1,PTPN13,HNRNPK,TH,KIF4A,TJP3
65	CSK	111.5	RB1,SCARB1,UHRF1,LRRK2,PTPRO,WIZ,FMN2,HSPD1,BLNK,ZNF687,MYH10,NEFH,TNS1,PDGFRB,PDGFRA,CASR,PKLR,CAV2,PLCL1,PDZK1,PTPN13,HSPG2,MPP7,PLEKHA7,PARD3B,APBB1IP,VIL1,SLC9A3,HNRNPK,PLCB4,LATS2,NPHS1,PARD3,MAP1B,KCNMA1,DOCK2,PLCB1,MET,RABL6,PLEC
66	FLT1	111.6	RB1,USP6NL,TOP2A,SCARB1,TAGLN,LRRK2,PTPRO,HSPB1,LRP2,SOGA1,GRB14,TCOF1,CA9,NOS1,HAO2,NEFH,TNS1,PDGFRB,PDGFRA,MME,IDH1,PLCL1,ANK2,ANK3,PROX1,ATP1B1,HSPG2,PARD3B,CENPF,LATS2,PLCB4,NPHS1,NPHS2,PARD3,DOCK2,PLCB1,MET
67	TEK	112.2	RB1,CDKN1C,TAGLN,LRRK2,PTPRO,AKAP12,GRB14,CA9,NOS1,TNS1,PDGFRB,PDGFRA,CASR,MME,EPHX2,PLCL1,PROX1,L1CAM,HSPG2,SOD3,PLCB4,NPHS1,NPHS2,PLCB1,DOCK2,MET,ARHGEF6
68	LRRK2	112.8	RB1,USP6NL,CDKN1C,LRRK2,PTPRO,FOXI1,HSPB1,CALML3,FMN2,PTH1R,SIPA1L2,SYNE2,KIF15,DHX57,STBD1,BLNK,NOS1,ZNF687,CHGB,TNS1,PDGFRB,PDGFRA,FCER1G,MME,DST,MAGI2,MYO7B,ZFP91,ANK2,ANK3,PDZK1,ANK1,HSPG2,DUSP9,CIT,PARD3B,APBB1IP,SLC9A3,SLC9A4,LATS2,PLCB4,MAP1B,PARD3,KCNMA1,GPD1,PPIF,PLIN2,ARHGEF7,DOCK2,SLC25A5,PLCB1,FBP1,MET,FBP2,ARHGEF6,PLEC,DDC,TBC1D9B,AHNAK,WIZ,RASAL3,HSPD1,TGOLN2,SDCBP,ADGRG1,MYH10,SPTBN2,RANBP2,PKLR,PLCL1,MICAL3,L1CAM,PTPN13,SOD3,MPP7,PLEKHA7,VIL1,CENPF,TH,NPHS1,KIF4A,ACIN1,PFKP
69	STK3	113.6	PDGFRB,ATP6V1A,PDGFRA,DAXX,CRYBG1,DST,UHRF1,LRRK2,MAGI2,MICAL3,ATP1B1,PTPN13,CIT,PLCB4,LATS2,NPHS1,MAP1B,PARD3,ARHGEF7,SLC25A5,MET,NEFH,ARHGEF6
70	CDK6	114.1	RB1,CDKN1C,TOP2A,LRRK2,PTPRO,FOXI1,HSPB1,FMN2,KIF15,PRX,BLNK,TNS1,PDGFRB,PDGFRA,DAXX,DST,ANK2,ANK3,ANK1,DUSP9,CIT,LATS2,PITPNM3,ARHGEF7,MET,PLEC,ATP6V1A,TOR4A,CDCA2,UHRF1,NCAPG,HSPD1,PDLIM2,IRX1,RANBP2,IRX2,IDH1,AP3D1,L1CAM,PTPN13,SOD3,PLEKHA7,VIL1,CENPF,HNRNPK,NASP,LHX1,KIF4A,ACIN1,LPIN2
71	PLK4	114.3	RB1,TOP2A,USP6NL,CDCA2,TBC1D9B,UHRF1,LRRK2,NCAPG,FMN2,BICD1,KIF15,PTDSS1,PCM1,CSPP1,SPDL1,LZTS2,MYH10,TNS1,PDGFRB,PDGFRA,ANK2,ANK3,L1CAM,NPNT,ANK1,DUSP9,MLF1,CIT,MZT2B,CENPF,ILF3,LATS2,NASP,PSAT1,MAP1B,KIF4A,WRAP53
72	MTOR	115.5	RB1,USP6NL,SCARB1,FOXI1,CALML3,MT2A,GRB14,ACAA1,TNS1,PDGFRB,PDGFRA,DAXX,CASR,MAGI2,ANK3,PDZK1,ANK1,SLC9A3,MAP1B,PARD3,GPD1,PPIF,DPEP1,SCG2,SLC27A2,ATP6V1A,TBC1D9B,RASAL3,RAP1GAP,PIK3R5,SDCBP,EPB41L1,EPB41L3,PCK1,MYH10,PCK2,SPTBN2,GSTM3,CAV2,IDH1,EPHX2,VIL1,HNRNPK,NASP,TH,LHX1,KIF4A,CDKN1C,TOP2A,LRRK2,HSPB1,ARHGEF10L,FMN2,PEPD,TRIOBP,KIF15,PCM1,BLNK,CA9,NOS1,SLC36A2,MME,DCXR,PROX1,DUSP9,CIT,GAP43,PLCB4,LATS2,SLC7A8,CDHR2,KCNMA1,ATP6V1B2,PLIN2,ALDOB,ARHGEF7,PLCB1,DOCK2,SLC25A5,FBP1,MET,FBP2,ARHGEF6,PLEC,TAGLN,AHNAK,LRP2,HSPD1,TCOF1,NPY,GPAT3,RANBP2,PKLR,PLCL1,AP3D1,ASS1,PLEKHA7,FABP1,SUCLA2,NPHS1,NPHS2,ACIN1,LAMTOR1,LPIN2,PFKP
73	ZAP70	115.8	RB1,TOP2A,CDKN1C,LRRK2,PTPRO,PTH1R,RASAL3,HSPD1,PIK3R5,GRB14,COBLL1,BLNK,TNS1,PDGFRB,PDGFRA,GSTM3,CASR,FCER1G,MME,PKLR,PLCL1,USP2,PDZK1,PROX1,L1CAM,PTPN13,HSPG2,DUSP9,MPP7,CIT,PARD3B,APBB1IP,HNRNPK,PLCB4,LHX1,PARD3,ACIN1,ALDOB,DOCK2,PLCB1,MET,ARHGEF6
74	FGFR4	116.6	SCARB1,LRRK2,LRP2,PTH1R,PDLIM2,GRB14,PCK1,PCK2,PDGFRB,PDGFRA,IRX2,CASR,PARP4,IDH1,PLCL1,PROX1,SLC51B,L1CAM,PTPN13,HSPG2,DUSP9,PLEKHA7,CIT,FABP1,APBB1IP,LATS2,PLCB4,ALPK2,PLCB1,DOCK2,MET
75	ARAF	117.6	RB1,TOR4A,LRRK2,PTPRO,HSPB1,PIK3R5,KIF15,TCOF1,GRB14,BLNK,DLGAP2,TNS1,PDGFRB,PDGFRA,DAXX,PARP4,PKLR,IDH1,PLCL1,USP2,AP3D1,PDZK1,PTPN13,HSPG2,DUSP9,ASS1,MLF1,CIT,PARD3B,APBB1IP,SLC9A3,SLC9A4,LATS2,PLCB4,HNRNPK,PARD3,PLCB1,DOCK2,SLC27A2,MET,RABL6,PLEC
76	PIP5K1C	118.9	ATP6V1A,GK,PLCL1,MAGI2,WIZ,LRP2,HDHD2,L1CAM,ANK1,PIK3R5,PARD3B,APBB1IP,PLCB4,EPB41L1,MAP1B,PARD3,PITPNM3,PLCB1,MYH10,PFKP,TNS1,RABL6,SPTBN2
77	PAK3	119.7	LRRK2,CALML3,FMN2,KIAA1210,KIF15,AKAP12,TCEAL2,NHS,MYH10,CHGB,TNS1,SPTBN2,PDGFRB,GSTM3,DST,MAGI2,MYO7B,ANK3,ANK1,DUSP9,CIT,ILF3,GAP43,LATS2,MAP1B,KIF4A,MAP7D2,ATP6V1B2,ARHGEF7,PLCB1,MET,ARHGEF6
78	ULK1	120.7	RB1,LRRK2,HSPB1,KIF15,SDCBP,PCM1,STBD1,TNS1,PDGFRB,PDGFRA,PLCL1,USP2,ANK2,PROX1,ANK3,PPP1R3G,LATS2,PLCB4,MAP1B,LHX1,KIF4A,PPIF,ATP6V1B2,ACIN1,LAMTOR1,PLCB1,FBP1
79	CSNK1G1	121.4	RB1,PDGFRB,RANBP2,PDGFRA,TBC1D9B,LRRK2,AP3D1,FAM219A,SOD3,CIT,PCM1,LATS2,GPD1,FAM83B
80	PKN2	121.8	TOP2A,LRRK2,CALML3,FMN2,PCM1,BCLAF1,PDLIM2,ACAA1,ZNF687,MYH10,CHGB,RANBP2,PDGFRB,FCER1G,DCXR,PLCL1,ANK2,ANK3,ATP1B1,PTPN13,ANK1,CIT,LATS2,PLCB4,NASP,DDAH1,PITPNM3,PLIN2,PLCB1,LPIN2
81	CHEK1	122	RB1,TOP2A,CDKN1C,LRRK2,PTPRO,HSPB1,FMN2,SYNE2,KIF15,PHF8,GRB14,BLNK,CA9,SPDL1,CHGB,TNS1,PDGFRB,PDGFRA,DAXX,PARP4,USP2,WRNIP1,ANK2,CIT,ILF3,GAP43,LATS2,PARD3,ATP6V1B2,SCG2,MET,CDCA2,UHRF1,NCAPG,WIZ,SLC3A1,HSPD1,DDN,NHS,RANBP2,IDH1,L1CAM,CENPF,HNRNPK,NASP,PSAT1,KIF4A,WRAP53
82	SRPK1	122.3	RB1,TOP2A,ATP6V1A,UHRF1,LRRK2,NCAPG,ACSM2A,FTCD,KIF15,BCLAF1,TCEAL2,UBAP2L,SPDL1,RANBP2,PDGFRA,DAXX,CIT,PARD3B,MZT2B,CENPF,ILF3,HNRNPK,NASP,KIF4A,ACIN1,SLC25A5
